[-1.0677893048491613, 0.026203047489260944]
[-1.0675272743742688, 0.04349865457407359]
[-1.067092287828528, 0.06661079252481603]
[-1.06642617990328, 0.09537920037088032]
[-1.065472387899571, 0.09934366083074782]
[-1.0644789512912636, 0.09179225714566303]
[-1.063561028719807, 0.11981339199502107]
[-1.0623628947998567, 0.13243222158402926]
[-1.0610385725840163, 0.15838928049301043]
[-1.0594546797790863, 0.16501043349987063]
[-1.0578045754440875, 0.19289586954141036]
[-1.0558756167486734, 0.2072411488071498]
[-1.053803205260602, 0.21848639037907736]
[-1.0516183413568112, 0.2414506159011442]
[-1.0492038351977997, 0.2753486148237212]
[-1.0464503490495625, 0.3023314563341865]
[-1.0434270344862207, 0.3194767299139916]
[-1.0402322671870807, 0.3456678254724804]
[-1.036775588932356, 0.3630267496608929]
[-1.033145321435747, 0.37435715857111684]
[-1.0294017498500359, 0.397531057908146]
[-1.0254264392709544, 0.4003808323851091]
[-1.0214226309471033, 0.4259193992606188]
[-1.017163436954497, 0.43319969932715463]
[-1.0128314399612255, 0.4547479025114928]
[-1.0082839609361105, 0.4664646553340567]
[-1.0036193143827699, 0.48252424461093074]
[-0.9987940719366606, 0.5193305964606333]
[-0.9936007659720543, 0.5380410900165824]
[-0.9882203550718884, 0.5760614320959809]
[-0.9824597407509287, 0.5900503422369194]
[-0.9765592373285595, 0.6082979814108681]
[-0.9704762575144509, 0.6196194671493918]
[-0.964280062842957, 0.6348520741832504]
[-0.9579315421011245, 0.6459900731453955]
[-0.9514716413696706, 0.664324936056233]
[-0.9448283920091082, 0.6978012727604471]
[-0.9378503792815037, 0.7222061686407162]
[-0.9306283175950966, 0.7417655435653405]
[-0.9232106621594431, 0.7603022374704917]
[-0.9156076397847382, 0.7665159140607465]
[-0.9079424806441307, 0.7690448114611679]
[-0.900252032529519, 0.7811644272462337]
[-0.8924403882570566, 0.8053580599296115]
[-0.8843868076577606, 0.8233744414313875]
[-0.8761530632434467, 0.8516280420954724]
[-0.8676367828224919, 0.8610321769685838]
[-0.8590264610528061, 0.8939677405412199]
[-0.8500867836473939, 0.9233737760527525]
[-0.8408530458868664, 0.927652615223062]
[-0.8315765197346358, 0.9460448461094186]
[-0.8221160712735416, 0.9652723595842225]
[-0.8124633476776993, 0.986258445394216]
[-0.8026007632237572, 0.9987266319638216]
[-0.792613496904119, 1.0058218645027]
[-0.782555278259092, 1.0240034551376156]
[-0.7723152437077159, 1.0487344940567314]
[-0.7618278987671485, 1.0666312089387864]
[-0.7511615866777607, 1.0918515436009502]
[-0.7402430712417511, 1.1122873509209554]
[-0.7291201977325416, 1.12554579191191]
[-0.7178647398134225, 1.1550806147688912]
[-0.7063139336657336, 1.1664772437078434]
[-0.6946491612286552, 1.1962769272277314]
[-0.6826863919563778, 1.2112674784021502]
[-0.6705737171723564, 1.2356953492394782]
[-0.6582167636799616, 1.259585940684902]
[-0.6456209042731126, 1.2783372607052752]
[-0.6328375316660598, 1.2976954629426873]
[-0.619860577036633, 1.3028106866037712]
[-0.6068324701705953, 1.308689105342246]
[-0.5937455791171729, 1.3316437400466814]
[-0.580429141716706, 1.36063984224672]
[-0.5668227432942388, 1.3861102391414455]
[-0.5529616409028243, 1.4199234448669904]
[-0.5387624064541544, 1.4375313327896397]
[-0.524387093126258, 1.4435888277261202]
[-0.5099512048489968, 1.4738035682412463]
[-0.49521316916658437, 1.4929445894732702]
[-0.48028372327185165, 1.512980933334219]
[-0.46515391393850947, 1.5387187240177653]
[-0.4497667266983318, 1.5357621496139962]
[-0.43440910520219184, 1.5733571527716756]
[-0.4186755336744751, 1.589501060460456]
[-0.4027805230698705, 1.6072433060272204]
[-0.38670809000959827, 1.5828719716031296]
[-0.370879370293567, 1.6036592588610936]
[-0.35484277770495604, 1.5922094703268335]
[-0.3389206830016877, 1.5702892826970964]
[-0.32321779017471675, 1.5610823401478136]
[-0.3076069667732386, 1.5593763618220522]
[-0.2920132031550181, 1.5746257535203774]
[-0.27626694561981435, 1.5725706692722583]
[-0.26054123892709175, 1.5851168762884698]
[-0.24469007016420705, 1.6085215482563815]
[-0.22860485468164324, 1.6134325046029014]
[-0.21247052963561422, 1.6400813253469757]
[-0.19606971638214446, 1.6428154483906563]
[-0.1796415618982379, 1.6610302026849793]
[-0.1630312598713881, 1.6528326507353284]
[-0.14650293336403483, 1.629483828576311]
[-0.13020809507827172, 1.6124558763872887]
[-0.11408353631439883, 1.6290060504605495]
[-0.09779347580979333, 1.649462723367425]
[-0.08129884857611908, 1.6150686203939886]
[-0.06514816237217919, 1.6012642435878648]
[-0.04913551993630054, 1.6134780555655668]
[-0.03300073938064487, 1.5732077516211596]
[-0.017268661864433276, 1.5610722457591926]
[-0.0016579394068413494, 1.5508494164086963]
