[-1.0820494272810626, -0.03120275878469428]
[-1.0823614548689096, -0.027819487226422645]
[-1.0826396497411739, -0.01492080526720103]
[-1.0827888577938458, 0.0020881626396796315]
[-1.082767976167449, 0.020112071769620987]
[-1.0825668554497527, 0.029631549797852666]
[-1.0822705399517742, 0.06963154979785266]
[-1.0815742244537958, 0.09067216728313744]
[-1.0806675027809645, 0.09812986302211406]
[-1.0796862041507433, 0.10246101552187642]
[-1.0786615939955246, 0.12457780896858314]
[-1.077415815905839, 0.15926636817090306]
[-1.07582315222413, 0.18428076298776724]
[-1.0739803445942522, 0.20660051757611497]
[-1.0719143394184911, 0.22215528174818056]
[-1.0696927866010093, 0.24207631680066938]
[-1.0672720234330026, 0.27109847303081536]
[-1.0645610387026945, 0.2960001150177944]
[-1.0616010375525164, 0.29037799346717186]
[-1.0586972576178448, 0.3209925412201603]
[-1.0554873322056433, 0.33388771100264664]
[-1.0521484550956168, 0.3738877110026466]
[-1.0484095779855904, 0.39442373724828933]
[-1.0444653406131075, 0.41888163852502763]
[-1.040276524227857, 0.4169908637392606]
[-1.0361066155904646, 0.4445286849128589]
[-1.031661328741336, 0.4655078750843023]
[-1.027006249990493, 0.46943236413808476]
[-1.0223119263491123, 0.49178951889624295]
[-1.01739403116015, 0.514306332834167]
[-1.0122509678318083, 0.5353659926799091]
[-1.0068973079050092, 0.5478198931012574]
[-1.0014191089739966, 0.5678689005608676]
[-0.9957404199683879, 0.5704558360774834]
[-0.990035861607613, 0.5931319370932435]
[-0.9841045422366806, 0.6154192230095491]
[-0.9779503500065851, 0.6400743378769309]
[-0.9715496066278159, 0.6546651305357262]
[-0.9650029553224586, 0.6540294300098811]
[-0.9584626610223598, 0.6685193703064899]
[-0.9517774673192949, 0.6759883830878026]
[-0.9450175834884169, 0.6805008340076414]
[-0.9382125751483404, 0.7110486321652697]
[-0.9311020888266878, 0.7382976972237878]
[-0.9237191118544499, 0.7294244482669616]
[-0.9164248673717803, 0.7457009560767537]
[-0.9089678578110127, 0.7597033416760635]
[-0.9013708243942521, 0.7860754569726897]
[-0.8935100698245252, 0.8016393901530268]
[-0.8854936759229949, 0.8213281868046471]
[-0.8772803940549484, 0.8613281868046472]
[-0.868667112186902, 0.8768882057597499]
[-0.8598982301293044, 0.8951778273990373]
[-0.850946451855314, 0.9123198416900274]
[-0.8418232534384138, 0.9489536205875279]
[-0.8323337172325386, 0.9672729929545486]
[-0.8226609873029931, 1.0072729929545485]
[-0.8125882573734476, 1.0283038666152269]
[-0.8023052187072953, 1.0566974751031912]
[-0.7917382439562634, 1.068401067972106]
[-0.7810542332765423, 1.0853996960886816]
[-0.7702002363156555, 1.1253996960886816]
[-0.7589462393547687, 1.1463620843545992]
[-0.7474826185112227, 1.1779942015653544]
[-0.7357026764955691, 1.2154463867193155]
[-0.7235482126283759, 1.247163608771838]
[-0.7110765765406575, 1.2440449473943311]
[-0.6986361270667142, 1.2689552470763192]
[-0.685946574595951, 1.2769638531149576]
[-0.6731769360648014, 1.2925593793736405]
[-0.6602513422710651, 1.3080119319127432]
[-0.6471712229519376, 1.301581910522395]
[-0.6341554038467137, 1.3295482456571357]
[-0.6208599213901423, 1.3453748230669633]
[-0.6074061731594728, 1.3572858297248727]
[-0.593833314862224, 1.3750630202397804]
[-0.5800826846598263, 1.3935224313510406]
[-0.5661474603463159, 1.4125188290354784]
[-0.5520222720559611, 1.4423611853271656]
[-0.5375986602026894, 1.4459324039032586]
[-0.5231393361636568, 1.4573112488348523]
[-0.5085662236753083, 1.4694022812100673]
[-0.49387220086320766, 1.4887209948920783]
[-0.47898499091428687, 1.5230771155858642]
[-0.46375421975842823, 1.5214070180079426]
[-0.4485401495783488, 1.5239770198767817]
[-0.433300379379581, 1.5530227629508462]
[-0.41777015175007254, 1.5917629234160866]
[-0.4018525225159117, 1.6069925202484792]
[-0.3857825973134269, 1.625248800875852]
[-0.3695301093046684, 1.6455981721373212]
[-0.3530741275832952, 1.6654710425093835]
[-0.3364194171582014, 1.6630658295894787]
[-0.3197887588623066, 1.6843568126179647]
[-0.30294519073612697, 1.712276906433126]
[-0.2858224216717957, 1.7119079378958553]
[-0.26870334229283716, 1.7519079378958553]
[-0.25118426291387863, 1.7713028471421013]
[-0.23347123444245763, 1.7823230976026077]
[-0.21564800346643154, 1.7789725463550172]
[-0.19785827800288136, 1.7860655302206287]
[-0.17999762270067507, 1.8114454294459996]
[-0.16188316840621508, 1.8215753741725589]
[-0.14366741466448948, 1.8248909888088676]
[-0.12541850477640082, 1.8324725427631623]
[-0.1070937793487692, 1.845699291853931]
[-0.08863678643022989, 1.864702556950217]
[-0.06998976086072772, 1.8820061317071626]
[-0.0511696995436561, 1.884838898343125]
[-0.032321310560224845, 1.8808281137208795]
[-0.013513029423016049, 1.902958965490069]
